Datetime,Jetty,Marina
3/16/2023 17:30:00,35,0
3/17/2023,,
3/18/2023,,
3/19/2023,,
3/20/2023,,
3/21/2023,,
3/22/2023,,
3/23/2023,,
3/24/2023,,
3/25/2023,,
3/26/2023,,
3/27/2023,,
3/28/2023,,
3/29/2023,,
3/30/2023,,
3/31/2023,,
4/1/2023,,
4/2/2023,,
4/3/2023 17:45:00,43,0
4/4/2023,,
4/5/2023,,
4/6/2023,,
4/7/2023,,
4/8/2023,,
4/9/2023,,
4/10/2023,,
4/11/2023,,
4/12/2023,,
4/13/2023,,
4/14/2023,,
4/15/2023,,
4/16/2023,,
4/17/2023,,
4/18/2023,,
4/19/2023,,
4/20/2023,,
4/21/2023,,
4/22/2023,,
4/23/2023,,
4/24/2023,,
4/25/2023,,
4/26/2023,,
4/27/2023,,
4/28/2023,,
4/29/2023,,
4/30/2023,,
5/1/2023,,
5/2/2023,,
5/3/2023,,
5/4/2023,,
5/5/2023,,
5/6/2023,,
5/7/2023,,
5/8/2023,,
5/9/2023,,
5/10/2023,,
5/11/2023,,
5/12/2023,,
5/13/2023,,
5/14/2023,,
5/15/2023,,
5/16/2023,,
5/17/2023,,
5/18/2023,,
5/19/2023,,
5/20/2023,,
5/21/2023,,
5/22/2023,,
5/22/2023 16:00:00,0,33
5/23/2023 16:00:00,0,45
5/25/2023 17:00:00,0,15
5/26/2023 18:00:00,0,16
5/30/2023 16:30:00,0,22
5/31/2023 15:45:00,0,18
6/1/2023 11:30:00,0,17
6/3/2023 15:30:00,0,17
6/4/2023 18:00:00,0,15
6/5/2023 17:15:00,0,14
6/6/2023 18:00:00,0,14
6/7/2023 18:45:00,0,2
6/8/2023 17:00:00,0,3
6/9/2023 17:45:00,0,0
